id;active;type;name;externalId;epgProvider;epgProviderId;mdbMatchTags;enableImageGenerator;order;lcn;testing;public;availability;fsAvailability;parentLock;malfunction;timeshiftDuration;timeshiftAvailable;timeshiftBeforeEvent;timeshiftAfterEvent;drm;directAccess;audio;message;channelGroup;description;hd;hack;dvbMrl;tags;epgLang;useStreamServer;freeSeekSeconds;freeSeekStartOver;freeSeekPvr;epgAllowedTypes;parallelStreamGroup
CARTOONNETWORK;1;tv;CARTOON NETWORK HD;CARTOONNETWORK_stream_10;14;403;,movie,dummyShow,dummySeries,;1;83;129;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
CARTOON_NETWORK_HD_INTER;1;tv;CARTOON NETWORK HD;CARTOON_NETWORK_HD_stream_4x;14;403;,movie,dummyShow,dummySeries,;1;0;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
CCTV;1;tv;CCTV-4;CCTV_stream_2c;14;1330;,movie,dummyShow,dummySeries,;1;114;\N;0;1;NetUno;\N;0;\N;720;720;1;2;1;0;\N;\N;Internacionales;;0;;\N;DRM,720;es;1;0;0;0;;1
CGNT;1;tv;CGTN;CGTN_stream_w4;14;1552;,movie,dummyShow,dummySeries,;1;70;\N;0;1;NetUno;\N;0;\N;720;720;1;2;1;0;\N;\N;Internacionales;;0;;\N;DRM,720;es;1;0;0;0;;1
CHILEVISION;1;tv;CHILEVISION;CHILE_VISION_stream_k8;14;4525;,movie,dummyShow,dummySeries,;1;170;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Nacionales;;1;;\N;DRM,Inter;es;1;0;0;0;;1
CINECANAL;1;tv;CINECANAL FHD;CINECANAL_stream_3x;14;3467;,movie,dummyShow,dummySeries,;1;53;82;0;1;NetUno;\N;0;\N;4320;4320;1;2;1;0;\N;\N;Peliculas;;1;;\N;DRM,4320;es;1;0;0;0;;1
CINEFAMILIAR;1;tv;CINE FAMILIAR HD;CINEFAMILIAR_stream_pg;14;5481;,movie,dummyShow,dummySeries,;1;63;90;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Peliculas;;0;;\N;1440,DRM;es;1;0;0;0;;1
CINEHISPANO;1;tv;CINE HISPANO HD;CINEHISPANO_stream_ny;14;4564;,movie,dummyShow,dummySeries,;1;64;91;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Peliculas;;0;;\N;1440,DRM;es;1;0;0;0;;1
CINELATINO;1;tv;CINE LATINO HD;CINELATINO_stream_u4;14;508;,movie,dummyShow,dummySeries,;1;143;\N;0;1;NetUno;\N;0;\N;4320;4320;1;2;1;0;\N;\N;Peliculas;;0;;\N;DRM,4320;es;1;0;0;0;;1
CINEMAX;1;tv;CINEMAX FHD;CINEMAX_stream_do;14;1574;,movie,dummyShow,dummySeries,;1;54;83;0;1;NetUno;\N;0;\N;4320;4320;1;2;1;0;spa,eng;\N;Peliculas;;1;;\N;DRM,4320;es;1;0;0;0;;1
CINEMAX_HD_INTER;1;tv;CINEMAX HD;CINEMAX_HD_INTER_stream_xb;14;1574;,movie,dummyShow,dummySeries,;1;200;\N;0;1;Inter;\N;0;\N;4320;4320;1;2;1;0;spa,eng;\N;Peliculas;;1;;\N;DRM,4320;es;1;0;0;0;;1
CINEPREMIUM;1;tv;CINE PREMIUM HD;CINEPREMIUM_stream_gx;14;5257;,movie,dummyShow,dummySeries,;1;62;89;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Peliculas;;0;;\N;1440,DRM;es;1;0;0;0;;1
CLAROSPORTS_2_INTER;0;tv;CLARO SPORTS 2 HD;CLAROSPORTS_2_INTER_stream_ia;14;8339;;1;227;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
CLAROSPORTS_3_INTER;0;tv;CLARO SPORTS 3 HD;CLAROSPORTS_3_INTER_stream_at;14;3555;;1;228;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
CLAROSPORTS_4_INTER;0;tv;CLARO SPORTS 4 HD;CLAROSPORTS_4_INTER_stream_uv;14;3556;;1;229;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
CLARO_SPORTS_HD;1;tv;CLARO SPORTS HD;CLARO_SPORT_stream_gj;14;1906;;1;230;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
CLARO_SPORTS_INTER;1;tv;CLARO SPORTS HD;CLARO_SPORTS_INTER_stream_gd;14;1906;,movie,dummyShow,dummySeries,;1;207;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM,Inter;es;1;0;0;0;;1
CNNINTERNACIONAL;1;tv;CNN INTERNACIONAL;CNNINTERNACIONAL_stream_mm;14;13;,movie,dummyShow,dummySeries,;1;107;184;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Internacionales;;0;;\N;1440,DRM;es;1;0;0;0;;1
COMEDY_CENTRAL;1;tv;COMEDY CENTRAL;COMEDY_CENTRAL_stream_dm;14;2037;,movie,dummyShow,dummySeries,;1;57;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;general;;0;;\N;DRM,Inter;es;1;0;0;0;;1
CUBAVISION;1;tv;CUBA VISION;CUBAVISION_stream_r8;14;3613;,movie,dummyShow,dummySeries,;1;14;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Internacionales;;0;;\N;1440,DRM;es;1;0;0;0;;1
CURIOSITY;1;tv;CURIOSITY HD;CURIOSITY_stream_wi;14;5248;,movie,dummyShow,dummySeries,;1;247;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Documentales;;1;;\N;1440,DRM;es;1;0;0;0;;1
DEPELICULA;1;tv;DE PELICULA HD;DEPELICULA_stream_5u;14;137;,movie,dummyShow,dummySeries,;1;52;81;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Peliculas;;1;;\N;1440,DRM;es;1;0;0;0;;1
DHE;1;tv;DHE HD;DHE_stream_rw;14;3068;,movie,dummyShow,dummySeries,;1;248;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;general;;1;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERYCHANNEL;1;tv;DISCOVERY CHANNEL;DISCOVERYCHANNEL_stream_g8;14;438;,movie,dummyShow,dummySeries,;1;69;107;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;0;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERYCHANNEL_HD_INTER;1;tv;DISCOVERY CHANNEL HD;DISCOVERY_CHANNEL_HD_INTER_stream_am;14;438;,movie,dummyShow,dummySeries,;1;195;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;1;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERYHH_HD_INTER;1;tv;DISCOVERY H&H HD;Discovery_HH_HD_INTER_stream_mn;14;3135;,movie,dummyShow,dummySeries,;1;0;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;1;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERYHYH;1;tv;DISCOVERY H&H;DISCOVERYHYH_stream_wf;14;3135;,movie,dummyShow,dummySeries,;1;29;47;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;0;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERYKIDS;1;tv;DISCOVERY KIDS;DISCOVERYKIDS_stream_1h;14;396;,movie,dummyShow,dummySeries,;1;80;126;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;0;;\N;1440,DRM;es;1;0;0;0;;1
